DATE,OPEN ,MAX,MIN,CLOSE,VOLUME
15 ,"99,44","103,93","99,35","103,19",27568100
14 ,"97,05","97,41","95,38","97,36",18613400
13  ,"95,84",96,"92,88","95,06",22699100
10  ,"98,12","100,78","96,87","99,34",20526000
8  ,"102,82","103,48","98,3","99,41",33516900
7  ,"103,41","106,74","101,52","101,91",53570000
6 ,"95,57","101,52","95,48","99,26",42903300
3 ,"87,95","90,2","87,51","89,87",17484600
2 ,"84,98","87,65","84,74","87,33",18860000
